,realtime_start,realtime_end,observation_start,observation_end,units,output_type,file_type,order_by,sort_order,count,offset,limit,realtime_start,realtime_end,date,value
0,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1939-01-01,.
1,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1939-04-01,.
2,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1939-07-01,.
3,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1939-10-01,.
4,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1940-01-01,.
5,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1940-04-01,.
6,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1940-07-01,.
7,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1940-10-01,.
8,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1941-01-01,.
9,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1941-04-01,.
10,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1941-07-01,.
11,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1941-10-01,.
12,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1942-01-01,.
13,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1942-04-01,.
14,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1942-07-01,.
15,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1942-10-01,.
16,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1943-01-01,.
17,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1943-04-01,.
18,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1943-07-01,.
19,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1943-10-01,.
20,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1944-01-01,.
21,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1944-04-01,.
22,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1944-07-01,.
23,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1944-10-01,.
24,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1945-01-01,.
25,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1945-04-01,.
26,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1945-07-01,.
27,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1945-10-01,.
28,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1946-01-01,.
29,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1946-04-01,.
30,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1946-07-01,.
31,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1946-10-01,.
32,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1947-01-01,244.142
33,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1947-04-01,247.063
34,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1947-07-01,250.716
35,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1947-10-01,260.981
36,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1948-01-01,267.133
37,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1948-04-01,274.046
38,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1948-07-01,280.679
39,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1948-10-01,281.837
40,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1949-01-01,276.42
41,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1949-04-01,272.68
42,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1949-07-01,274.162
43,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1949-10-01,271.76
44,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1950-01-01,282.056
45,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1950-04-01,291.699
46,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1950-07-01,309.76
47,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1950-10-01,321.554
48,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1951-01-01,337.537
49,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1951-04-01,345.973
50,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1951-07-01,353.381
51,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1951-10-01,358.33
52,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1952-01-01,361.821
53,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1952-04-01,363.049
54,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1952-07-01,369.683
55,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1952-10-01,382.751
56,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1953-01-01,389.888
57,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1953-04-01,393.801
58,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1953-07-01,392.98
59,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1953-10-01,387.798
60,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1954-01-01,387.345
61,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1954-04-01,388.119
62,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1954-07-01,393.034
63,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1954-10-01,402.077
64,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1955-01-01,415.496
65,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1955-04-01,423.93
66,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1955-07-01,432.668
67,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1955-10-01,439.619
68,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1956-01-01,442.597
69,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1956-04-01,448.848
70,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1956-07-01,454.125
71,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1956-10-01,463.023
72,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1957-01-01,472.864
73,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1957-04-01,475.392
74,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1957-07-01,482.723
75,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1957-10-01,477.398
76,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1958-01-01,470.17
77,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1958-04-01,474.672
78,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1958-07-01,488.446
79,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1958-10-01,502.14
80,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1959-01-01,512.913
81,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1959-04-01,525.253
82,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1959-07-01,527.864
83,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1959-10-01,531.63
84,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1960-01-01,545.575
85,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1960-04-01,544.084
86,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1960-07-01,548.768
87,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1960-10-01,543.553
88,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1961-01-01,548.594
89,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1961-04-01,558.945
90,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1961-07-01,571.166
91,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1961-10-01,584.209
92,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1962-01-01,597.614
93,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1962-04-01,604.358
94,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1962-07-01,613.078
95,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1962-10-01,617.01
96,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1963-01-01,626.179
97,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1963-04-01,634.089
98,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1963-07-01,648.882
99,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1963-10-01,658.563
100,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1964-01-01,674.88
101,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1964-04-01,683.549
102,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1964-07-01,697.079
103,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1964-10-01,702.017
104,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1965-01-01,723.225
105,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1965-04-01,735.832
106,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1965-07-01,754.576
107,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1965-10-01,776.644
108,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1966-01-01,800.732
109,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1966-04-01,810.033
110,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1966-07-01,824.605
111,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1966-10-01,838.565
112,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1967-01-01,849.391
113,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1967-04-01,854.063
114,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1967-07-01,870.922
115,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1967-10-01,887.023
116,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1968-01-01,915.204
117,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1968-04-01,940.344
118,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1968-07-01,957.077
119,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1968-10-01,974.301
120,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1969-01-01,999.671
121,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1969-04-01,1015.181
122,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1969-07-01,1035.904
123,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1969-10-01,1044.164
124,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1970-01-01,1057.487
125,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1970-04-01,1074.012
126,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1970-07-01,1092.643
127,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1970-10-01,1094.672
128,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1971-01-01,1142.57
129,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1971-04-01,1164.246
130,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1971-07-01,1184.935
131,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1971-10-01,1198.025
132,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1972-01-01,1238.784
133,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1972-04-01,1274.485
134,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1972-07-01,1299.485
135,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1972-10-01,1337.927
136,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1973-01-01,1388.16
137,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1973-04-01,1425.513
138,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1973-07-01,1447.715
139,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1973-10-01,1490.591
140,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1974-01-01,1508.276
141,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1974-04-01,1546.453
142,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1974-07-01,1575.303
143,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1974-10-01,1613.018
144,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1975-01-01,1627.512
145,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1975-04-01,1663.509
146,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1975-07-01,1722.818
147,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1975-10-01,1777.797
148,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1976-01-01,1836.233
149,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1976-04-01,1868.977
150,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1976-07-01,1903.677
151,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1976-10-01,1952.15
152,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1977-01-01,2009.413
153,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1977-04-01,2076.658
154,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1977-07-01,2139.358
155,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1977-10-01,2183.039
156,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1978-01-01,2224.853
157,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1978-04-01,2350.382
158,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1978-07-01,2415.943
159,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1978-10-01,2501.54
160,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1979-01-01,2552.29
161,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1979-04-01,2620.698
162,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1979-07-01,2703.659
163,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1979-10-01,2760.381
164,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1980-01-01,2827.831
165,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1980-04-01,2833.163
166,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1980-07-01,2890.897
167,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1980-10-01,3014.083
168,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1981-01-01,3155.609
169,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1981-04-01,3192.545
170,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1981-07-01,3293.303
171,2021-01-01,2023-12-31,1600-01-01,9999-12-31,lin,1,json,observation_date,asc,512,0,100000,2021-01-01,2023-12-31,1981-10-01,3318.447
